Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
2016,Stephane Nembot,Colorado,OT,5.09,78,34.625,322,10.75,5.39,32,,103,8.55,5.15,
2016,Denver Kirkland,Arkansas,OT,5.06,76,34.625,335,9.625,5.55,19,,94,8.72,5.06,
2016,Fahn Cooper,Ole Miss,OT,5.05,76,34.75,303,10,5.17,19,,102,7.85,4.89,
2016,Cole Toner,Harvard,OT,5,77,33.125,306,9.75,5.32,22,,103,7.88,4.59,
2016,Dominique Robertson,West Georgia,OT,4.9,77,36,324,10.375,5.36,30,,100,8.42,4.83,
2016,Tyler Johnstone,Oregon,OT,4.85,77,34,301,10.375,5.21,24,,104,7.31,4.6,
2016,Tyler Marz,Wisconsin,OT,4.84,79,33.5,316,10,5.54,19,,99,8.38,4.97,
2016,Halapoulivaati Vaitai,TCU,OT,4.76,78,34.25,320,10.625,5.26,23,,113,8.26,5,
2016,Andrew Billings,Baylor,NT,6.44,73,33,311,10,5.05,31,27.5,113,8.05,4.82,
2016,Austin Johnson,Penn State,NT,5.98,76,32.75,314,9.875,5.32,25,26,99,7.84,4.75,
2016,Kenny Clark,UCLA,NT,5.89,75,32.125,314,10.5,5.06,29,28.5,102,,4.62,
2016,D.J. Reader,Clemson,NT,5.25,75,33.625,327,9.5,5.33,30,29.5,99,7.9,4.71,
2016,A'Shawn Robinson,Alabama,DT,6.59,76,34.5,307,10.5,5.2,22,26,106,7.8,4.74,
2016,Robert Nkemdiche,Ole Miss,DT,6.32,75,33.875,294,10.75,4.87,28,35,116,,,
